Mean,STD,Best,Worst
76.0,0.0,76.0,76.0
195.0,0.0,195.0,195.0
99.0,0.0,99.0,99.0
332.0,0.0,332.0,332.0
134.0,0.0,134.0,134.0
194.0,0.0,194.0,194.0
119.0,0.0,119.0,119.0
73.0,0.0,73.0,73.0
100.0,0.0,100.0,100.0
96.0,0.0,96.0,96.0
83.0,0.0,83.0,83.0
71.0,0.0,71.0,71.0
87.0,0.0,87.0,87.0
72.0,0.0,72.0,72.0
69.0,0.0,69.0,69.0
71.0,0.0,71.0,71.0
66.0,0.0,66.0,66.0
101.0,0.0,101.0,101.0
142.0,0.0,142.0,142.0
94.0,0.0,94.0,94.0
87.0,0.0,87.0,87.0
97.0,0.0,97.0,97.0
74.0,0.0,74.0,74.0
71.0,0.0,71.0,71.0
134.0,0.0,134.0,134.0
73.0,0.0,73.0,73.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
64.0,0.0,64.0,64.0
65.0,0.0,65.0,65.0
115.0,0.0,115.0,115.0
78.0,0.0,78.0,78.0
91.0,0.0,91.0,91.0
74.0,0.0,74.0,74.0
71.0,0.0,71.0,71.0
74.0,0.0,74.0,74.0
162.0,0.0,162.0,162.0
74.0,0.0,74.0,74.0
79.0,0.0,79.0,79.0
73.0,0.0,73.0,73.0
95.0,0.0,95.0,95.0
159.0,0.0,159.0,159.0
65.0,0.0,65.0,65.0
99.0,0.0,99.0,99.0
71.0,0.0,71.0,71.0
74.0,0.0,74.0,74.0
65.0,0.0,65.0,65.0
96.0,0.0,96.0,96.0
116.0,0.0,116.0,116.0
74.0,0.0,74.0,74.0
76.0,0.0,76.0,76.0
100.0,0.0,100.0,100.0
78.0,0.0,78.0,78.0
87.0,0.0,87.0,87.0
124.0,0.0,124.0,124.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
213.0,0.0,213.0,213.0
84.0,0.0,84.0,84.0
65.0,0.0,65.0,65.0
77.0,0.0,77.0,77.0
86.0,0.0,86.0,86.0
79.0,0.0,79.0,79.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
84.0,0.0,84.0,84.0
93.0,0.0,93.0,93.0
78.0,0.0,78.0,78.0
80.0,0.0,80.0,80.0
73.0,0.0,73.0,73.0
97.0,0.0,97.0,97.0
82.0,0.0,82.0,82.0
77.0,0.0,77.0,77.0
78.0,0.0,78.0,78.0
81.0,0.0,81.0,81.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
80.0,0.0,80.0,80.0
99.0,0.0,99.0,99.0
101.0,0.0,101.0,101.0
107.0,0.0,107.0,107.0
137.0,0.0,137.0,137.0
66.0,0.0,66.0,66.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
82.0,0.0,82.0,82.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
122.0,0.0,122.0,122.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
82.0,0.0,82.0,82.0
87.0,0.0,87.0,87.0
93.0,0.0,93.0,93.0
93.0,0.0,93.0,93.0
95.0,0.0,95.0,95.0
66.0,0.0,66.0,66.0
89.0,0.0,89.0,89.0
87.0,0.0,87.0,87.0
94.0,0.0,94.0,94.0
85.0,0.0,85.0,85.0
94.0,0.0,94.0,94.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
80.0,0.0,80.0,80.0
72.0,0.0,72.0,72.0
86.0,0.0,86.0,86.0
78.0,0.0,78.0,78.0
275.0,0.0,275.0,275.0
72.0,0.0,72.0,72.0
100.0,0.0,100.0,100.0
128.0,0.0,128.0,128.0
74.0,0.0,74.0,74.0
97.0,0.0,97.0,97.0
79.0,0.0,79.0,79.0
86.0,0.0,86.0,86.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
78.0,0.0,78.0,78.0
102.0,0.0,102.0,102.0
65.0,0.0,65.0,65.0
98.0,0.0,98.0,98.0
97.0,0.0,97.0,97.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
87.0,0.0,87.0,87.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
66.0,0.0,66.0,66.0
96.0,0.0,96.0,96.0
94.0,0.0,94.0,94.0
65.0,0.0,65.0,65.0
78.0,0.0,78.0,78.0
87.0,0.0,87.0,87.0
66.0,0.0,66.0,66.0
121.0,0.0,121.0,121.0
75.0,0.0,75.0,75.0
97.0,0.0,97.0,97.0
77.0,0.0,77.0,77.0
74.0,0.0,74.0,74.0
87.0,0.0,87.0,87.0
87.0,0.0,87.0,87.0
95.0,0.0,95.0,95.0
86.0,0.0,86.0,86.0
86.0,0.0,86.0,86.0
111.0,0.0,111.0,111.0
94.0,0.0,94.0,94.0
74.0,0.0,74.0,74.0
181.0,0.0,181.0,181.0
82.0,0.0,82.0,82.0
97.0,0.0,97.0,97.0
89.0,0.0,89.0,89.0
87.0,0.0,87.0,87.0
97.0,0.0,97.0,97.0
74.0,0.0,74.0,74.0
97.0,0.0,97.0,97.0
104.0,0.0,104.0,104.0
81.0,0.0,81.0,81.0
86.0,0.0,86.0,86.0
96.0,0.0,96.0,96.0
97.0,0.0,97.0,97.0
83.0,0.0,83.0,83.0
86.0,0.0,86.0,86.0
116.0,0.0,116.0,116.0
88.0,0.0,88.0,88.0
97.0,0.0,97.0,97.0
86.0,0.0,86.0,86.0
82.0,0.0,82.0,82.0
81.0,0.0,81.0,81.0
97.0,0.0,97.0,97.0
105.0,0.0,105.0,105.0
97.0,0.0,97.0,97.0
96.0,0.0,96.0,96.0
89.0,0.0,89.0,89.0
95.0,0.0,95.0,95.0
73.0,0.0,73.0,73.0
93.0,0.0,93.0,93.0
97.0,0.0,97.0,97.0
95.0,0.0,95.0,95.0
88.0,0.0,88.0,88.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
97.0,0.0,97.0,97.0
87.0,0.0,87.0,87.0
95.0,0.0,95.0,95.0
91.0,0.0,91.0,91.0
91.0,0.0,91.0,91.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
80.0,0.0,80.0,80.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
106.0,0.0,106.0,106.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
93.0,0.0,93.0,93.0
161.0,0.0,161.0,161.0
65.0,0.0,65.0,65.0
123.0,0.0,123.0,123.0
111.0,0.0,111.0,111.0
95.0,0.0,95.0,95.0
87.0,0.0,87.0,87.0
72.0,0.0,72.0,72.0
93.0,0.0,93.0,93.0
76.0,0.0,76.0,76.0
90.0,0.0,90.0,90.0
73.0,0.0,73.0,73.0
93.0,0.0,93.0,93.0
93.0,0.0,93.0,93.0
263.0,0.0,263.0,263.0
81.0,0.0,81.0,81.0
79.0,0.0,79.0,79.0
81.0,0.0,81.0,81.0
95.0,0.0,95.0,95.0
72.0,0.0,72.0,72.0
96.0,0.0,96.0,96.0
93.0,0.0,93.0,93.0
100.0,0.0,100.0,100.0
89.0,0.0,89.0,89.0
83.0,0.0,83.0,83.0
123.0,0.0,123.0,123.0
80.0,0.0,80.0,80.0
91.0,0.0,91.0,91.0
135.0,0.0,135.0,135.0
87.0,0.0,87.0,87.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
184.0,0.0,184.0,184.0
87.0,0.0,87.0,87.0
99.0,0.0,99.0,99.0
87.0,0.0,87.0,87.0
72.0,0.0,72.0,72.0
90.0,0.0,90.0,90.0
98.0,0.0,98.0,98.0
140.0,0.0,140.0,140.0
87.0,0.0,87.0,87.0
87.0,0.0,87.0,87.0
92.0,0.0,92.0,92.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
149.0,0.0,149.0,149.0
74.0,0.0,74.0,74.0
85.0,0.0,85.0,85.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
91.0,0.0,91.0,91.0
65.0,0.0,65.0,65.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
92.0,0.0,92.0,92.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
93.0,0.0,93.0,93.0
87.0,0.0,87.0,87.0
87.0,0.0,87.0,87.0
87.0,0.0,87.0,87.0
87.0,0.0,87.0,87.0
87.0,0.0,87.0,87.0
83.0,0.0,83.0,83.0
81.0,0.0,81.0,81.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
159.0,0.0,159.0,159.0
73.0,0.0,73.0,73.0
99.0,0.0,99.0,99.0
90.0,0.0,90.0,90.0
74.0,0.0,74.0,74.0
90.0,0.0,90.0,90.0
84.0,0.0,84.0,84.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
99.0,0.0,99.0,99.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
75.0,0.0,75.0,75.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
76.0,0.0,76.0,76.0
73.0,0.0,73.0,73.0
99.0,0.0,99.0,99.0
73.0,0.0,73.0,73.0
91.0,0.0,91.0,91.0
73.0,0.0,73.0,73.0
75.0,0.0,75.0,75.0
99.0,0.0,99.0,99.0
73.0,0.0,73.0,73.0
92.0,0.0,92.0,92.0
73.0,0.0,73.0,73.0
