Mean,STD,Best,Worst
72.0,0.0,72.0,72.0
101.0,0.0,101.0,101.0
500.0,0.0,500.0,500.0
161.0,0.0,161.0,161.0
103.0,0.0,103.0,103.0
80.0,0.0,80.0,80.0
78.0,0.0,78.0,78.0
65.0,0.0,65.0,65.0
76.0,0.0,76.0,76.0
500.0,0.0,500.0,500.0
64.0,0.0,64.0,64.0
102.0,0.0,102.0,102.0
78.0,0.0,78.0,78.0
75.0,0.0,75.0,75.0
74.0,0.0,74.0,74.0
66.0,0.0,66.0,66.0
78.0,0.0,78.0,78.0
75.0,0.0,75.0,75.0
78.0,0.0,78.0,78.0
78.0,0.0,78.0,78.0
74.0,0.0,74.0,74.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
500.0,0.0,500.0,500.0
73.0,0.0,73.0,73.0
81.0,0.0,81.0,81.0
78.0,0.0,78.0,78.0
82.0,0.0,82.0,82.0
95.0,0.0,95.0,95.0
80.0,0.0,80.0,80.0
89.0,0.0,89.0,89.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
79.0,0.0,79.0,79.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
64.0,0.0,64.0,64.0
89.0,0.0,89.0,89.0
73.0,0.0,73.0,73.0
81.0,0.0,81.0,81.0
94.0,0.0,94.0,94.0
152.0,0.0,152.0,152.0
64.0,0.0,64.0,64.0
78.0,0.0,78.0,78.0
114.0,0.0,114.0,114.0
98.0,0.0,98.0,98.0
95.0,0.0,95.0,95.0
80.0,0.0,80.0,80.0
66.0,0.0,66.0,66.0
114.0,0.0,114.0,114.0
72.0,0.0,72.0,72.0
86.0,0.0,86.0,86.0
73.0,0.0,73.0,73.0
79.0,0.0,79.0,79.0
78.0,0.0,78.0,78.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
104.0,0.0,104.0,104.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
66.0,0.0,66.0,66.0
104.0,0.0,104.0,104.0
72.0,0.0,72.0,72.0
78.0,0.0,78.0,78.0
226.0,0.0,226.0,226.0
66.0,0.0,66.0,66.0
72.0,0.0,72.0,72.0
78.0,0.0,78.0,78.0
82.0,0.0,82.0,82.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
132.0,0.0,132.0,132.0
145.0,0.0,145.0,145.0
73.0,0.0,73.0,73.0
77.0,0.0,77.0,77.0
96.0,0.0,96.0,96.0
72.0,0.0,72.0,72.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
72.0,0.0,72.0,72.0
64.0,0.0,64.0,64.0
80.0,0.0,80.0,80.0
80.0,0.0,80.0,80.0
73.0,0.0,73.0,73.0
90.0,0.0,90.0,90.0
86.0,0.0,86.0,86.0
82.0,0.0,82.0,82.0
82.0,0.0,82.0,82.0
86.0,0.0,86.0,86.0
83.0,0.0,83.0,83.0
78.0,0.0,78.0,78.0
97.0,0.0,97.0,97.0
78.0,0.0,78.0,78.0
78.0,0.0,78.0,78.0
72.0,0.0,72.0,72.0
98.0,0.0,98.0,98.0
101.0,0.0,101.0,101.0
98.0,0.0,98.0,98.0
98.0,0.0,98.0,98.0
82.0,0.0,82.0,82.0
152.0,0.0,152.0,152.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
86.0,0.0,86.0,86.0
66.0,0.0,66.0,66.0
86.0,0.0,86.0,86.0
101.0,0.0,101.0,101.0
93.0,0.0,93.0,93.0
95.0,0.0,95.0,95.0
91.0,0.0,91.0,91.0
98.0,0.0,98.0,98.0
90.0,0.0,90.0,90.0
77.0,0.0,77.0,77.0
72.0,0.0,72.0,72.0
97.0,0.0,97.0,97.0
78.0,0.0,78.0,78.0
127.0,0.0,127.0,127.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
