Mean,STD,Best,Worst
89.0,0.0,89.0,89.0
206.0,0.0,206.0,206.0
182.0,0.0,182.0,182.0
88.0,0.0,88.0,88.0
101.0,0.0,101.0,101.0
149.0,0.0,149.0,149.0
114.0,0.0,114.0,114.0
104.0,0.0,104.0,104.0
500.0,0.0,500.0,500.0
88.0,0.0,88.0,88.0
88.0,0.0,88.0,88.0
94.0,0.0,94.0,94.0
93.0,0.0,93.0,93.0
73.0,0.0,73.0,73.0
77.0,0.0,77.0,77.0
94.0,0.0,94.0,94.0
78.0,0.0,78.0,78.0
88.0,0.0,88.0,88.0
92.0,0.0,92.0,92.0
500.0,0.0,500.0,500.0
90.0,0.0,90.0,90.0
95.0,0.0,95.0,95.0
73.0,0.0,73.0,73.0
79.0,0.0,79.0,79.0
87.0,0.0,87.0,87.0
107.0,0.0,107.0,107.0
73.0,0.0,73.0,73.0
81.0,0.0,81.0,81.0
75.0,0.0,75.0,75.0
73.0,0.0,73.0,73.0
65.0,0.0,65.0,65.0
95.0,0.0,95.0,95.0
65.0,0.0,65.0,65.0
72.0,0.0,72.0,72.0
77.0,0.0,77.0,77.0
95.0,0.0,95.0,95.0
72.0,0.0,72.0,72.0
97.0,0.0,97.0,97.0
90.0,0.0,90.0,90.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
72.0,0.0,72.0,72.0
65.0,0.0,65.0,65.0
83.0,0.0,83.0,83.0
65.0,0.0,65.0,65.0
72.0,0.0,72.0,72.0
94.0,0.0,94.0,94.0
65.0,0.0,65.0,65.0
72.0,0.0,72.0,72.0
94.0,0.0,94.0,94.0
77.0,0.0,77.0,77.0
92.0,0.0,92.0,92.0
65.0,0.0,65.0,65.0
74.0,0.0,74.0,74.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
140.0,0.0,140.0,140.0
73.0,0.0,73.0,73.0
76.0,0.0,76.0,76.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
76.0,0.0,76.0,76.0
74.0,0.0,74.0,74.0
78.0,0.0,78.0,78.0
78.0,0.0,78.0,78.0
93.0,0.0,93.0,93.0
76.0,0.0,76.0,76.0
78.0,0.0,78.0,78.0
119.0,0.0,119.0,119.0
66.0,0.0,66.0,66.0
86.0,0.0,86.0,86.0
87.0,0.0,87.0,87.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
93.0,0.0,93.0,93.0
140.0,0.0,140.0,140.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
88.0,0.0,88.0,88.0
73.0,0.0,73.0,73.0
66.0,0.0,66.0,66.0
79.0,0.0,79.0,79.0
80.0,0.0,80.0,80.0
73.0,0.0,73.0,73.0
66.0,0.0,66.0,66.0
87.0,0.0,87.0,87.0
93.0,0.0,93.0,93.0
141.0,0.0,141.0,141.0
78.0,0.0,78.0,78.0
87.0,0.0,87.0,87.0
182.0,0.0,182.0,182.0
78.0,0.0,78.0,78.0
71.0,0.0,71.0,71.0
71.0,0.0,71.0,71.0
78.0,0.0,78.0,78.0
90.0,0.0,90.0,90.0
87.0,0.0,87.0,87.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
93.0,0.0,93.0,93.0
97.0,0.0,97.0,97.0
80.0,0.0,80.0,80.0
288.0,0.0,288.0,288.0
87.0,0.0,87.0,87.0
76.0,0.0,76.0,76.0
64.0,0.0,64.0,64.0
73.0,0.0,73.0,73.0
81.0,0.0,81.0,81.0
72.0,0.0,72.0,72.0
86.0,0.0,86.0,86.0
72.0,0.0,72.0,72.0
160.0,0.0,160.0,160.0
66.0,0.0,66.0,66.0
72.0,0.0,72.0,72.0
66.0,0.0,66.0,66.0
105.0,0.0,105.0,105.0
75.0,0.0,75.0,75.0
78.0,0.0,78.0,78.0
78.0,0.0,78.0,78.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
78.0,0.0,78.0,78.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
87.0,0.0,87.0,87.0
102.0,0.0,102.0,102.0
72.0,0.0,72.0,72.0
70.0,0.0,70.0,70.0
71.0,0.0,71.0,71.0
500.0,0.0,500.0,500.0
101.0,0.0,101.0,101.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
71.0,0.0,71.0,71.0
72.0,0.0,72.0,72.0
87.0,0.0,87.0,87.0
81.0,0.0,81.0,81.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
78.0,0.0,78.0,78.0
79.0,0.0,79.0,79.0
72.0,0.0,72.0,72.0
78.0,0.0,78.0,78.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
77.0,0.0,77.0,77.0
94.0,0.0,94.0,94.0
82.0,0.0,82.0,82.0
64.0,0.0,64.0,64.0
73.0,0.0,73.0,73.0
71.0,0.0,71.0,71.0
71.0,0.0,71.0,71.0
79.0,0.0,79.0,79.0
