mean_eval,median_eval,pop_best_eval,best_eval,worst_eval,no_envs
445.84210205078125,500.0,90.0,90.0,500.0,36
468.2631530761719,500.0,184.0,90.0,500.0,36
447.7368469238281,500.0,162.0,90.0,500.0,36
362.7368469238281,500.0,65.0,65.0,500.0,36
463.5789489746094,500.0,111.0,65.0,500.0,36
467.3157958984375,500.0,104.0,65.0,500.0,36
384.15789794921875,500.0,88.0,65.0,500.0,36
402.631591796875,500.0,73.0,65.0,500.0,36
417.47369384765625,500.0,92.0,65.0,500.0,36
354.47369384765625,500.0,74.0,65.0,500.0,36
314.9473571777344,500.0,71.0,65.0,500.0,36
155.15789794921875,92.0,65.0,65.0,500.0,36
296.0,229.0,71.0,65.0,500.0,36
164.7894744873047,95.0,71.0,65.0,500.0,36
186.7894744873047,97.0,65.0,65.0,500.0,36
191.4736785888672,90.0,66.0,65.0,500.0,36
230.57894897460938,110.0,64.0,64.0,500.0,36
154.36842346191406,93.0,64.0,64.0,500.0,36
144.8947296142578,94.0,65.0,64.0,500.0,36
177.0,90.0,73.0,64.0,500.0,36
205.94737243652344,85.0,64.0,64.0,500.0,36
153.5263214111328,86.0,66.0,64.0,500.0,36
138.05262756347656,98.0,64.0,64.0,500.0,36
155.6842041015625,89.0,70.0,64.0,500.0,36
105.10526275634766,84.0,64.0,64.0,500.0,36
191.57894897460938,89.0,66.0,64.0,500.0,36
113.7368392944336,91.0,65.0,64.0,500.0,36
193.94737243652344,89.0,65.0,64.0,500.0,36
155.84210205078125,83.0,64.0,64.0,500.0,36
195.26315307617188,124.0,64.0,64.0,500.0,36
150.15789794921875,82.0,65.0,64.0,500.0,36
118.84210205078125,74.0,65.0,64.0,500.0,36
118.89473724365234,89.0,73.0,64.0,500.0,36
155.36842346191406,92.0,65.0,64.0,500.0,36
132.8947296142578,89.0,73.0,64.0,500.0,36
158.05262756347656,86.0,65.0,64.0,500.0,36
158.4736785888672,94.0,64.0,64.0,500.0,36
82.31578826904297,82.0,64.0,64.0,500.0,36
92.0,89.0,64.0,64.0,500.0,36
107.9473648071289,81.0,64.0,64.0,500.0,36
87.10526275634766,78.0,65.0,64.0,500.0,36
114.89473724365234,80.0,66.0,64.0,500.0,36
97.52631378173828,88.0,64.0,64.0,500.0,36
122.15789794921875,87.0,64.0,64.0,500.0,36
165.7894744873047,89.0,64.0,64.0,500.0,36
82.63157653808594,77.0,65.0,64.0,500.0,36
168.8947296142578,101.0,73.0,64.0,500.0,36
109.89473724365234,90.0,66.0,64.0,500.0,36
133.8947296142578,87.0,65.0,64.0,500.0,36
113.10526275634766,93.0,66.0,64.0,500.0,36
84.89473724365234,79.0,64.0,64.0,500.0,36
102.57894897460938,74.0,66.0,64.0,500.0,36
84.21052551269531,79.0,65.0,64.0,500.0,36
133.57894897460938,85.0,64.0,64.0,500.0,36
104.78947448730469,90.0,64.0,64.0,500.0,36
82.7368392944336,75.0,64.0,64.0,500.0,36
94.78947448730469,86.0,64.0,64.0,500.0,36
114.68421173095703,86.0,66.0,64.0,500.0,36
111.9473648071289,87.0,72.0,64.0,500.0,36
84.42105102539062,87.0,64.0,64.0,500.0,36
88.15789794921875,88.0,64.0,64.0,500.0,36
95.47368621826172,78.0,65.0,64.0,500.0,36
116.21052551269531,78.0,64.0,64.0,500.0,36
95.15789794921875,88.0,65.0,64.0,500.0,36
87.15789794921875,76.0,64.0,64.0,500.0,36
84.31578826904297,79.0,64.0,64.0,500.0,36
120.78947448730469,74.0,64.0,64.0,500.0,36
82.68421173095703,87.0,64.0,64.0,500.0,36
81.7368392944336,78.0,64.0,64.0,500.0,36
79.7368392944336,78.0,64.0,64.0,500.0,36
108.10526275634766,78.0,64.0,64.0,500.0,36
105.68421173095703,89.0,65.0,64.0,500.0,36
84.31578826904297,82.0,65.0,64.0,500.0,36
116.21052551269531,90.0,65.0,64.0,500.0,36
90.21052551269531,80.0,64.0,64.0,500.0,36
85.0526351928711,80.0,66.0,64.0,500.0,36
89.68421173095703,87.0,65.0,64.0,500.0,36
96.63157653808594,86.0,72.0,64.0,500.0,36
81.31578826904297,77.0,65.0,64.0,500.0,36
88.15789794921875,80.0,65.0,64.0,500.0,36
91.21052551269531,88.0,71.0,64.0,500.0,36
92.36842346191406,81.0,64.0,64.0,500.0,36
87.63157653808594,84.0,64.0,64.0,500.0,36
145.6842041015625,80.0,66.0,64.0,500.0,36
114.89473724365234,88.0,64.0,64.0,500.0,36
115.31578826904297,85.0,64.0,64.0,500.0,36
103.7368392944336,83.0,64.0,64.0,500.0,36
78.0,74.0,64.0,64.0,500.0,36
86.15789794921875,75.0,64.0,64.0,500.0,36
114.63157653808594,86.0,64.0,64.0,500.0,36
109.57894897460938,85.0,64.0,64.0,500.0,36
140.6842041015625,87.0,65.0,64.0,500.0,36
114.57894897460938,87.0,71.0,64.0,500.0,36
108.7368392944336,84.0,65.0,64.0,500.0,36
88.36842346191406,83.0,64.0,64.0,500.0,36
112.10526275634766,82.0,65.0,64.0,500.0,36
75.68421173095703,76.0,64.0,64.0,500.0,36
87.0526351928711,77.0,63.0,63.0,500.0,36
103.0526351928711,78.0,64.0,63.0,500.0,36
100.78947448730469,76.0,64.0,63.0,500.0,36
87.31578826904297,89.0,64.0,63.0,500.0,36
124.0526351928711,88.0,64.0,63.0,500.0,36
85.63157653808594,75.0,65.0,63.0,500.0,36
86.63157653808594,76.0,64.0,63.0,500.0,36
107.15789794921875,82.0,64.0,63.0,500.0,36
82.31578826904297,78.0,71.0,63.0,500.0,36
86.7368392944336,77.0,64.0,63.0,500.0,36
86.63157653808594,80.0,65.0,63.0,500.0,36
109.42105102539062,74.0,64.0,63.0,500.0,36
81.84210205078125,78.0,64.0,63.0,500.0,36
91.0,88.0,65.0,63.0,500.0,36
98.84210205078125,82.0,64.0,63.0,500.0,36
82.57894897460938,79.0,64.0,63.0,500.0,36
83.63157653808594,87.0,64.0,63.0,500.0,36
118.21052551269531,94.0,64.0,63.0,500.0,36
83.7368392944336,74.0,64.0,63.0,500.0,36
87.84210205078125,87.0,65.0,63.0,500.0,36
